,tokenids,sentences,targets
77,28557,"""`` Anne , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
78,38827,"""`` I do n't know what I would n't sooner have had happen , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
79,121124,"""`` Marilla , _ do n't _ think of it . You know he has given you hope . If you are careful you wo n't lose your sight altogether ; and if his glasses cure your headaches it will be a great thing . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
80,91721,"""`` Well , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
81,33713,"""`` Nonsense , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
82,38068,"""`` Anne , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
83,95655,"""`` Yes , I did , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
84,79953,"""`` It 'll be a real satisfaction to see that poor child wearing something decent for once . The way Marilla dresses her is positively ridiculous , that 's what , and I 've ached to tell her so plainly a dozen times . I 've held my tongue though , for I can see Marilla does n't want advice and she thinks she knows more about bringing children up than I do for all she 's an old maid . But that 's always the way . Folks that has brought up children know that there 's no hard and fast method in the world that 'll suit every child . But them as never have think it 's all as plain and easy as Rule of Three -- just set your three terms down so fashion , and the sum ` ll work out correct . But flesh and blood do n't come under the head of arithmetic and that 's where Marilla Cuthbert makes her mistake . I suppose she 's trying to cultivate a spirit of humility in Anne by dressing her as she does ; but it 's more likely to cultivate envy and discontent . I 'm sure the child must feel the difference between her clothes and the other girls ' . But to think of Matthew taking notice of it ! That man is waking up after being asleep for over sixty years . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
85,17693,"""`` Dear , dear , '' "", ","34,Mrs. Spencer,4,Mrs. Alexander Spencer,2,Spencer,
"
86,12211,"""`` and she 'd be company for you . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
87,82150,"""`` Well now , I was proud of her and I did tell her so ` fore she went upstairs , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
88,31786,"""`` You 'll have to go down and call for Mrs. Lynde , Anne , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
89,40334,"""`` For the land 's sake ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
90,124235,"""`` We have n't been -- we 've been good enemies . But we have decided that it will be much more sensible to be good friends in the future . Were we really there half an hour ? It seemed just a few minutes . But , you see , we have five years ' lost conversations to catch up with , Marilla . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
91,3418,"""`` Well , of all things that ever were or will be ! '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
92,103412,"""`` Oh , I do n't believe I 'd have the heart for it . It would be such a disgrace to fail , especially if Gil -- if the others passed . And I get so nervous in an examination that I 'm likely to make a mess of it . I wish I had nerves like Jane Andrews . Nothing rattles her . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
93,70355,"""`` and the minister paid her an elegant compliment . He said it was a feast for the eye as well as the palate . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
94,42205,"""`` but Diana and I are reading a perfectly magnificent book and there 's a Lover 's Lane in it . So we want to have one , too . And it 's a very pretty name , do n't you think ? So romantic ! We ca n't imagine the lovers into it , you know . I like that lane because you can think out loud there without people calling you crazy . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
95,100244,"""`` Matthew had a bad spell with his heart Thursday , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
96,17993,"""`` It was our own fault , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
97,71250,"""`` Suppose you jump up and tell her so yourself , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
98,40667,"""`` but she 's such a little thing -- such an interesting little thing . Do n't you think it 's pretty rough not to let her go to the picnic when she 's so set on it ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
99,98836,"""`` I do n't happen to know what Gilbert Blythe 's ambition in life is -- if he has any , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
100,53199,"""`` Ten minutes is n't very long to say an eternal farewell in , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
101,22513,"""`` I suppose I was very awkward , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
102,21819,"""`` Just go and do it before you ask any more questions , Anne . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
103,45487,"""`` There 's a great deal of difference between being called a crow and being called carrots , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
104,1076,"""`` He does n't generally go to town this time of year and he _ never _ visits ; if he 'd run out of turnip seed he would n't dress up and take the buggy to go for more ; he was n't driving fast enough to be going for a doctor . Yet something must have happened since last night to start him off . I 'm clean puzzled , that 's what , and I wo n't know a minute 's peace of mind or conscience until I know what has taken Matthew Cuthbert out of Avonlea today . '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
105,7626,"""`` I guess you 're feeling pretty tired and hungry , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
106,110417,"""`` Being interpreted it means plain red , I guess , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
107,66255,"""`` The spruce wood over the brook , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
108,40829,"""`` Well , she 's having it now '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
109,30530,"""`` How can I be vain when I know I 'm homely ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
110,18312,"""`` And if there is n't Mrs. Peter coming up the lane this blessed minute ! '' "", ","34,Mrs. Spencer,4,Mrs. Alexander Spencer,2,Spencer,
"
111,56919,"""`` Minnie May is awful sick -- she 's got croup . Young Mary Joe says -- and Father and Mother are away to town and there 's nobody to go for the doctor . Minnie May is awful bad and Young Mary Joe does n't know what to do -- and oh , Anne , I 'm so scared ! '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
112,45289,"""`` I 'm awfully sorry I made fun of your hair , Anne , '' "", ","62,Gilbert,51,Gilbert Blythe,2,Blythe,
"
113,90057,"""`` and it seemed like years while the flat was drifting down to the bridge and the water rising in it every moment . I prayed , Mrs. Allan , most earnestly , but I did n't shut my eyes to pray , for I knew the only way God could save me was to let the flat float close enough to one of the bridge piles for me to climb up on it . You know the piles are just old tree trunks and there are lots of knots and old branch stubs on them . It was proper to pray , but I had to do my part by watching out and right well I knew it . I just said , ` Dear God , please take the flat close to a pile and I 'll do the rest , ' over and over again . Under such circumstances you do n't think much about making a flowery prayer . But mine was answered , for the flat bumped right into a pile for a minute and I flung the scarf and the shawl over my shoulder and scrambled up on a big providential stub . And there I was , Mrs. Allan , clinging to that slippery old pile with no way of getting up or down . It was a very unromantic position , but I did n't think about that at the time . You do n't think much about romance when you have just escaped from a watery grave . I said a grateful prayer at once and then I gave all my attention to holding on tight , for I knew I should probably have to depend on human aid to get back to dry land . '' "", ","62,Mrs. Allan,
"
114,75419,"""`` Is n't it fortunate I 've got such an imagination ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
115,39124,"""`` You 're sure it has n't fell down behind the bureau ? '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
116,121477,"""`` What did Mr. Sadler want , Marilla ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
117,21368,"""`` I can only say good night tonight with a clear conscience , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
118,85445,"""`` The way I feel at present , Anne , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
119,24538,"""`` Can I take the apple blossoms with me for company ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
120,56202,"""`` Conservative , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
121,34695,"""`` Why , I guess so , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
122,54287,"""`` It 's so nice to be appreciated , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
123,115878,"""`` Everybody says Emily Clay will win it . And I 'm not going to march up to that bulletin board and look at it before everybody . I have n't the moral courage . I 'm going straight to the girls ' dressing room . You must read the announcements and then come and tell me , Jane . And I implore you in the name of our old friendship to do it as quickly as possible . If I have failed just say so , without trying to break it gently ; and whatever you do _ do n't _ sympathize with me . Promise me this , Jane . '' "", ","71,Jane,21,Jane Andrews,
"
124,46632,"""`` Will Marilla let you stay home ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
125,2347,"""`` Mrs. Alexander Spencer was up here one day before Christmas and she said she was going to get a little girl from the asylum over in Hopeton in the spring . Her cousin lives there and Mrs. Spencer has visited here and knows all about it . So Matthew and I have talked it over off and on ever since . We thought we 'd get a boy . Matthew is getting up in years , you know -- he 's sixty -- and he is n't so spry as he once was . His heart troubles him a good deal . And you know how desperate hard it 's got to be to get hired help . There 's never anybody to be had but those stupid , half-grown little French boys ; and as soon as you do get one broke into your ways and taught something he 's up and off to the lobster canneries or the States . At first Matthew suggested getting a Home boy . But I said ` no ' flat to that . ` They may be all right -- I 'm not saying they 're not -- but no London street Arabs for me , ' I said . ` Give me a native born at least . There 'll be a risk , no matter who we get . But I 'll feel easier in my mind and sleep sounder at nights if we get a born Canadian . ' So in the end we decided to ask Mrs. Spencer to pick us out one when she went over to get her little girl . We heard last week she was going , so we sent her word by Richard Spencer 's folks at Carmody to bring us a smart , likely boy of about ten or eleven . We decided that would be the best age -- old enough to be of some use in doing chores right off and young enough to be trained up proper . We mean to give him a good home and schooling . We had a telegram from Mrs. Alexander Spencer today -- the mail-man brought it from the station -- saying they were coming on the five-thirty train tonight . So Matthew went to Bright River to meet him . Mrs. Spencer will drop him off there . Of course she goes on to White Sands station herself . '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
126,69326,"""`` I 'll be as secret as the dead , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
